region,city,date,organizer,topic,participants_registered,participants_actual
Baden-Württemberg,Karlsruhe,2022-04-23,,Memorial Ride - zum Gedenken an im Dienst getötete Polizeibeamte ,400.0,
Baden-Württemberg,Karlsruhe,2022-04-23,,Freiheit-Religion,6.0,
Baden-Württemberg,Karlsruhe,2022-04-25,,Tschernobyl Jahrestag,25.0,
Baden-Württemberg,Karlsruhe,2022-04-25,,"Stoppt die einrichtungsbezogene Impfpflicht, sofortige Herstellung aller Grundrechte!
Für Frieden, Freiheit, Selbstbestimmung und eine diskriminierungsfreie Gesellschaft!",750.0,
Baden-Württemberg,Karlsruhe,2022-04-25,,Fast Fashion,4.0,
Baden-Württemberg,Karlsruhe,2022-04-28,,Maskenfreie Feststellung,47.0,
Baden-Württemberg,Karlsruhe,2022-04-29,,Community Chalking,25.0,
Baden-Württemberg,Karlsruhe,2022-04-29,,Critical Mass ,500.0,
Baden-Württemberg,Karlsruhe,2022-04-29,,Streik MEHRBRAUCHTMEHR,250.0,
Baden-Württemberg,Karlsruhe,2022-04-30,,Glaube an das Evangelium seines Sohnes (Jesus Christus) so wirst  du gerettet,3.0,
Baden-Württemberg,Karlsruhe,2022-04-30,,Freiheit- Religion,5.0,
Baden-Württemberg,Karlsruhe,2022-04-30,,Bewegungsmeditation für den inneren und äußeren frieden und gegen die Erstarrung der Herzen,80.0,
Baden-Württemberg,Karlsruhe,2022-05-01,,1. GeMAInsam Zukunft Gestalten.2022 mit Kundgebung auf dem Marktplatz,700.0,
Baden-Württemberg,Karlsruhe,2022-05-01,,"Krise, Krieg, Kapitalismus",100.0,
Baden-Württemberg,Karlsruhe,2022-05-01,,Solidarität mit der Ukraine,50.0,
Baden-Württemberg,Karlsruhe,2022-05-02,,"Keine Waffenlieferung an die Ukraine - wer Frieden will liefert keine Waffen! Für Frieden, Freihei, Selbstbestimmung und eine Diskriminierungsfreie Gesellschaft",750.0,
Baden-Württemberg,Karlsruhe,2022-05-02,,Foodsharing - Gemeinsam gegen Lebensmittelverschwendung mehr Bewusstsein schaffen für Lebensmittel und deren Lagerung,10.0,
Baden-Württemberg,Karlsruhe,2022-05-02,,"Montagsdemo gegen Hartz IV und Sozialabbau, Aktiver Widerstand für den Weltfrieden! Gegen alle Kriegstreiber!",50.0,
Baden-Württemberg,Karlsruhe,2022-05-03,,"Stille Mahnwache für Frieden, Demokratie und Menschenrechte",8.0,
Baden-Württemberg,Karlsruhe,2022-05-05,,Evangelische Kundgebung,70.0,
Baden-Württemberg,Karlsruhe,2022-05-05,,"""Maskenfreie Feststellung: Obwohl die ""epidemische Lage von nationaler Tragweite"" bereits im November 2021 aufgehoben wurde, werden Teile der Maßnahmen immer noch zu Unrecht in Nicht-Hotspot-Städten angeordnet. Auch die einrichtungsbezogenen Impfpflicht wurde, trotz einer hohen Anzahl Impf-Geschädigter, nicht aufgehoben.""",47.0,
Baden-Württemberg,Karlsruhe,2022-05-05,,Kundgebung zur Hauptversammlung der EnBW 2022,15.0,
Baden-Württemberg,Karlsruhe,2022-05-05,,Gedenktag des Völkermordes an den Eelam Tamilen,50.0,
Baden-Württemberg,Karlsruhe,2022-05-06,,Wir treten ein für GG Artikel 20 Absatz 3 und 4. Wir verlangen den Austritt aus der Privatorganisation WHO. Für eine freie Impfentscheidung,75.0,
Baden-Württemberg,Karlsruhe,2022-05-07,,Gegen Polizeigewalt und Rassismus,100.0,
Baden-Württemberg,Karlsruhe,2022-05-07,,Freiheit-Religion,5.0,
Baden-Württemberg,Karlsruhe,2022-05-08,,Ende des 2. Weltkrieges / Tag der Befreiung,200.0,
